TAR/G,YDS/TAR,TM TAR %,TAR,REC,YDS,TD,Probability_Success,Name
3.5,6.6,13.4,46,29,302,0,0.0007107863251534631,Austin Osborne
1.8,8.3,4.4,20,9,166,0,0.0007089960677084353,Gavin Blackwell
1.4,7.2,3.2,13,4,94,1,0.000708305152114173,Omari Evans
2.0,4.3,2.6,12,7,51,1,0.0007057861602000432,Tyrese Chambers
3.6,5.7,13.8,43,24,244,0,0.0007056780780245165,Duane Thomas Jr.
2.0,6.0,2.2,8,5,48,0,0.0007032395569159756,Chase Penry
1.4,9.4,5.8,21,13,197,1,0.0007025114283871276,Tyler Morris
2.3,3.9,8.6,28,15,109,3,0.0007020169668735663,Tyrone Broden
1.6,6.1,7.3,14,5,86,1,0.0007015895200570016,Nathan Kent
4.0,6.2,9.8,52,39,322,1,0.0006998001847843841,Koali Nishigaya
1.8,5.6,4.8,14,7,79,1,0.0006968366162254231,Will Pelissier
1.7,8.9,19.8,20,10,178,0,0.0006954981393602498,Brandon Engel
3.5,5.3,9.6,42,21,224,0,0.0006946225129123368,Josh Cameron
1.3,11.8,1.6,5,4,59,1,0.0006941849573869715,Javoni Gardere
3.3,5.5,10.0,39,20,216,0,0.0006937553357072088,Keelan Marion
1.6,8.5,3.7,16,6,136,0,0.0006937241632827498,Kentron Poitier
2.2,6.8,8.4,29,17,196,1,0.000689095196508905,Mike Pettway
0.8,12.1,2.0,10,3,121,1,0.0006867757975058706,Tsion Nunnally
1.8,7.3,5.3,23,13,168,1,0.0006859021420557047,Isaiah Horton
1.4,7.3,2.5,11,5,80,1,0.000683288006425815,Hykeem Williams
3.9,4.1,11.3,47,22,192,1,0.000680440430041938,Bryce Farrell
0.3,168.0,21.4,3,32,504,5,0.0006797701861136155,Jon McCall
2.7,5.7,9.4,35,19,198,1,0.0006756451998222891,Reagan Ealy
1.4,9.1,6.1,18,12,164,1,0.0006753625319919185,Ryan Marquez
1.8,3.9,2.2,7,2,27,0,0.0006749221373864653,Langston Lewis
2.6,6.7,7.3,31,18,207,0,0.000673637873339681,Melquan Stovall
0.9,9.3,2.1,9,6,84,2,0.0006727792439001092,Koby Duru
2.0,11.7,30.2,16,20,187,0,0.0006719585270555373,Jacob Bell
2.8,6.8,7.9,37,22,250,0,0.0006713471328236066,Adam Randall
1.7,4.3,2.9,12,5,52,1,0.0006705595714301131,Malik Elzy
1.3,1.3,1.0,4,1,5,1,0.0006693728781922943,Jojo Phillips
