Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Tanner McLachlan,TE,Arizona,College Stats,6-5,244,4.61,35.0,,117,,,
Dylan McMahon,C,North Carolina St.,College Stats,6-3,299,5.10,33.0,,115,7.26,4.33,
Jalen McMillan,WR,Washington,College Stats,6-1,197,4.47,37.0,,127,6.94,4.18,
Patrick McMorris,SAF,California,College Stats,6-0,207,,31.0,14,112,,,
Bub Means,WR,Pittsburgh,College Stats,6-1,212,4.43,39.5,19,122,,,
Max Melton,CB,Rutgers,College Stats,5-11,187,4.39,40.5,,136,,,
Harrison Mevis,K,Missouri,College Stats,6-0,241,,,,,,,
Joe Milton,QB,Tennessee,College Stats,6-5,235,,35.0,,121,,,
Kendall Milton,RB,Georgia,College Stats,6-2,225,4.62,35.5,18,124,,4.38,
Amarius Mims,OT,Georgia,College Stats,6-8,340,5.07,25.5,,111,,,
Adonai Mitchell,WR,Texas,College Stats,6-2,205,4.34,39.5,,136,,,
Quinyon Mitchell,CB,Toledo,College Stats,6-0,195,4.33,38.0,20,122,,,
Jacob Monk,C,Duke,College Stats,6-3,308,5.09,29.5,,108,,,
Jordan Morgan,OT,Arizona,College Stats,6-5,311,5.04,28.0,,110,,,
Darius Muasau,LB,UCLA,College Stats,6-0,225,4.70,36.5,,117,,,
Gabriel Murphy,EDGE,UCLA,College Stats,6-2,247,4.68,39.5,25,123,,,
Myles Murphy,DT,North Carolina,College Stats,6-4,309,5.20,28.5,,106,,4.81,
Malik Mustapha,SAF,Wake Forest,College Stats,5-10,209,,,22,,,,
Malik Nabers,WR,LSU,College Stats,6-0,200,,,,,,,
Jer'Zhan Newton,DT,Illinois,College Stats,6-2,304,,,,,,,
Josh Newton,CB,TCU,College Stats,5-11,190,4.51,34.0,15,124,,4.15,
Bo Nix,QB,Oregon,College Stats,6-2,214,,,,,,,
Maema Njongmeta,LB,Wisconsin,College Stats,6-0,229,4.91,,,,,4.66,
Hunter Nourzad,C,Penn St.,College Stats,6-3,317,,,,,,,
Tyler Nubin,SAF,Minnesota,College Stats,6-1,199,,,,,,,
Drake Nugent,C,Michigan,College Stats,6-2,298,5.23,29.5,,101,7.33,4.50,
Rome Odunze,WR,Washington,College Stats,6-3,212,4.45,39.0,,124,6.88,4.03,
Eyabi Okie-Anoma,EDGE,Charlotte,,6-5,260,,,,,,,
Olakitan Oladapo,SAF,Oregon St.,,6-2,216,4.58,36.0,15,117,,,
Ruke Orhorhoro,DT,Clemson,College Stats,6-4,294,4.89,32.0,29,116,,,
Tyler Owens,SAF,Texas Tech,College Stats,6-2,216,,41.0,,146,,,
Patrick Paul,OT,Houston,College Stats,6-8,331,5.13,29.0,,,7.65,,
Julian Pearl,OT,Illinois,College Stats,6-6,312,,,,,,,
Ricky Pearsall,WR,Florida,College Stats,6-1,189,4.41,42.0,17,129,6.64,4.05,
Andru Phillips,CB,Kentucky,College Stats,5-11,190,4.48,42.0,,135,,,
Prince Pines,G,Tulane,College Stats,6-5,322,5.34,30.0,,,,,
Ja'Lynn Polk,WR,Washington,College Stats,6-1,203,4.52,37.5,,129,,,
Jackson Powers-Johnson,C,Oregon,College Stats,6-3,328,,32.0,,104,,,
Sedrick Van Pran-Granger,C,Georgia,,6-4,298,5.20,,,,7.46,4.82,
Michael Pratt,QB,Tulane,College Stats,6-3,217,,36.0,,114,7.20,4.23,
Deantre Prince,CB,Mississippi,College Stats,6-0,183,4.38,34.5,,125,,,
Nehemiah Pritchett,CB,Auburn,College Stats,6-0,190,4.36,34.5,,,,,
Josh Proctor,SAF,Ohio St.,College Stats,6-2,199,4.55,32.5,,121,,,
Dominick Puni,G,Kansas,College Stats,6-5,313,5.35,30.0,,107,7.47,4.40,
Keith Randolph,DT,Illinois,College Stats,6-4,296,5.15,28.5,,105,,,
Spencer Rattler,QB,South Carolina,College Stats,6-0,211,4.95,32.0,,108,7.21,4.37,
Andrew Raym,C,Oklahoma,College Stats,6-4,314,5.42,24.5,,95,,,
Austin Reed,QB,Western Kentucky,College Stats,6-2,220,4.82,,,,,,
Ryan Rehkow,P,BYU,College Stats,6-4,235,,,,,,,
Will Reichard,K,Alabama,College Stats,6-1,187,,,,,,,
